Team Name,Player ID,Player Name,Position,Jersey
Bidco United,24,Brian Okeyo,Defender,23
Bidco United,26,Thomas Wainaina,Defender,3
Bidco United,35,Francis Kamau,Defender,12
Bidco United,465,Marvin Amuka,Defender,15
Bidco United,510,Stephen Okola,Defender,2
Bidco United,699,David Wafula,Defender,30
Bidco United,738,Meshack Odhiambo Nyabinge,Defender,24
Bidco United,814,Kennedy Ongalo,Defender,20
Bidco United,27,Michael Omondi Bodo,Midfielder,14
Bidco United,28,Dennis Murunga,Midfielder,19
Bidco United,30,Idris Amadi,Midfielder,17
Bidco United,32,Simon Munala Abuko,Midfielder,7
Bidco United,42,Ben Muna,Midfielder,33
Bidco United,44,Brian Oddoh,Midfielder,38
Bidco United,242,Christopher Raila,Midfielder,26
Bidco United,351,David Odoyo,Midfielder,4
Bidco United,408,Clinton Asiago,Midfielder,22
Bidco United,438,Lawrence Luvanda,Midfielder,31
Bidco United,639,Newton Ochieng,Midfielder,15
Bidco United,697,Amos Ochieng Okoth,Midfielder,16
Bidco United,739,Collins Okello Akite,Midfielder,13
Bidco United,767,Kassim Mwando Mwando,Midfielder,6
Bidco United,888,Emanuel Nyabuti,Midfielder,10
Bidco United,41,Victor Kunyili,Forward,28
Bidco United,508,Samuel Onyango,Forward,9
Bidco United,700,Herman Ngala,Forward,25
Bidco United,724,Eric Kahonge,Forward,11
Nairobi City Stars,498,Byron Owino,Goalkeeper,32
Nairobi City Stars,47,Steven Bulugu,Defender,22
Nairobi City Stars,49,Salim Odeka,Defender,2
Nairobi City Stars,50,Calvins Opollo Masawa,Defender,8
Nairobi City Stars,58,Rodgers Obusu Wasega,Defender,21
Nairobi City Stars,59,Timothy Muganda,Defender,4
Nairobi City Stars,481,Brian Opinde,Defender,14
Nairobi City Stars,604,Robinson Asenwa,Defender,5
Nairobi City Stars,55,Benjamin Murimi Mosha,Midfielder,29
Nairobi City Stars,572,Mohammed Ali,Midfielder,0
Nairobi City Stars,573,Brian Nyambane,Midfielder,17
Nairobi City Stars,588,Abuyeka Kubasu,Midfielder,31
FC Talanta,77,Robert Ouma,Goalkeeper,33
FC Talanta,67,Kevin Owino,Defender,3
FC Talanta,69,Leon Ombiji,Defender,4
FC Talanta,70,Chris Owino,Defender,8
FC Talanta,78,Broline Opiyo,Defender,30
FC Talanta,79,Isaiah Kipkirui,Defender,18
FC Talanta,87,Lennox Kariuki,Defender,5
FC Talanta,71,Derrick Ikholi Ambundo,Midfielder,2
FC Talanta,72,Alex Kipruto,Midfielder,11
FC Talanta,81,Stewart Omondi,Midfielder,20
FC Talanta,82,Peter Abiola,Midfielder,9
FC Talanta,83,Peter Njaamah,Midfielder,13
FC Talanta,86,Elisha Otieno,Midfielder,16
FC Talanta,564,Evans Malo,Midfielder,21
FC Talanta,75,Cyprian Mang'eni Fuchaka,Forward,12
FC Talanta,90,Phabian Odhiambo,Forward,14
Gor Mahia,1,Byrne Omondi,Goalkeeper,23
Gor Mahia,100,Kevin Omondi,Goalkeeper,35
Gor Mahia,542,Mathews Gad Otieno,Goalkeeper,16
Gor Mahia,92,Sylvester Owino,Defender,15
Gor Mahia,102,Geoffrey Ochieng,Defender,2
Gor Mahia,108,Ernest Wendo,Defender,20
Gor Mahia,109,Paul Ochuoga,Defender,37
Gor Mahia,112,Philemon Otieno,Defender,26
Gor Mahia,216,Lewis Bandi,Defender,25
Gor Mahia,436,Mike Kibwage,Defender,4
Gor Mahia,504,Joseph Levin Odhiambo,Defender,33
Gor Mahia,880,Frank Odhiambo,Defender,5
Gor Mahia,910,Isaac Deng,Defender,0
Gor Mahia,7,Fidel Origa,Midfielder,12
Gor Mahia,14,Jackson Dwang,Midfielder,10
Gor Mahia,91,Chris Akena,Midfielder,17
Gor Mahia,94,Kevin Juma,Midfielder,3
Gor Mahia,97,Bryson Wangai,Midfielder,25
Gor Mahia,98,Juma Lawrence,Midfielder,24
Gor Mahia,107,Alpha Chris Onyango,Midfielder,8
Gor Mahia,110,Enock Morrison,Midfielder,6
Gor Mahia,451,Ben Stanley Omondi,Midfielder,38
Gor Mahia,506,Shariff Musa,Midfielder,7
Gor Mahia,507,Samuel Kapen,Midfielder,22
Gor Mahia,544,Mark Shaban,Midfielder,28
Gor Mahia,545,Patrick Essombe,Midfielder,21
Gor Mahia,547,Bryton Onyona,Midfielder,36
Gor Mahia,728,George Amonoo,Midfielder,9
Gor Mahia,871,Ebenezer Assifuah,Midfielder,30
Gor Mahia,909,David Odhiambo Owiti,Midfielder,0
Gor Mahia,96,Christopher Ochieng,Forward,40
